freeResponse,correctAnswer,score,cosine
Cation is a positively charged ion.,positive ion that is formed by an atom losing one or more electrons,1.0,0.6113048195838928
"that water, methane, ammonia, and hydrogen were abount on earth",the composition of the gases in the atmosphere,0.5,0.5543665885925293
ph scale,"The pH scale ranges from 0 to 14, where anything below 7 is acidic and above 7 is alkaline. The bicarbonate system in the human body buffers the blood.",0.0,0.08663676679134369
so it can pass cells through,Fluidity allows greater flexibility to the cell and motion of membrane components required for transport.,1.0,0.5364201068878174
When acids are added to a solution the pH can either go up or go down and the solution can become either acidic or basic,decrease,0.0,0.035902027040719986
a molecule that have the same chemical formula but have a different placement structure of the atoms and the chemical bonds,molecules that differ from one another even though they share the same chemical formula,1.0,0.8528087735176086
they become more acidic,The pH of the solution decreases.,0.0,0.5207832455635071
peptide bond,a peptide bond,1.0,0.7236211895942688
in the hydrophobic region,penetrating both lipid layers,0.0,0.5735070109367371
Saturated are solid at room temperature and unsaturated are liquids at room temperature,the number of hydrogen atoms on the triglycerides,0.5,0.5943137407302856
Water molecules,base,0.0,0.3467714488506317
A form of silva toon shell,when a polar water molecule surrounds charged or polar molecules thus keeping them dissolved and in solution,0.0,0.4543696641921997
Nucleotides,phosphates,0.0,0.6586911678314209
Nucleus is the center of an atom. It holds the protons and the neutrons.,core of an atom; contains protons and neutrons,1.0,0.7960096001625061
Earth favored chemical reactions that synthesized organic compounds,the composition of the gases in the atmosphere,0.0,0.5898745656013489
water molecules attracted to other sufraces,attraction between water molecules and other molecules,1.0,0.8016984462738037
a carbohydrate and polymer,type of carbohydrate that forms the outer skeleton of all arthropods that include crustaceans and insects; it also forms the cell walls of fungi,0.5,0.5215858817100525
ionic bond,hydrogen bond,0.0,0.5698805451393127
amino acids,amino acids,1.0,0.8084303736686707
cohesion of liquid molecules to avoid rupture,tension at the surface of a body of liquid that prevents the molecules from separating; created by the attractive cohesive forces between the molecules of the liquid,1.0,0.7145375609397888
break down polymers into monomers,break down polymers,1.0,0.8206191658973694
a catalyst for chemical reactions,catalyst in a biochemical reaction that is usually a complex or conjugated protein,1.0,0.6304575204849243
"a solution that easily dissolves solutes, like water",substance capable of dissolving another substance,1.0,0.5517146587371826
cholesterol,cholesterol,1.0,0.9999999403953552
part of lactose,monosaccharide,0.0,0.4458719491958618
breakdown of molecules in water,"release of an ion from a molecule such that the original molecule now consists of an ion and the charged remains of the original, such as when water dissociates into H+ and OH-",0.0,0.6197456121444702
peptide bond,peptide bond,1.0,1.0
molecules consisting of entirely hydrogen and carbon,molecule that consists only of carbon and hydrogen,1.0,0.8735076785087585
"That the primitive atmosphere was made up of water, methane, ammonia, and hydrogen",the composition of the gases in the atmosphere,1.0,0.6502890586853027
"phospho, steroid, fats, oils, waxes","
  lipids like margarine
  wax like the coating on feathers
  phospholipids like cell membrane constituents
  steroid like cholesterol

",0.5,0.7143600583076477
formed by dehydration,long chain of monosaccharides; may be branched or unbranched,0.0,0.38468363881111145
fatty acidtails,unsaturated fatty acid tail,1.0,0.616571843624115
phospholipids: create the main structure of the membrane proteins:aid in transferring molecules across membrane carbs: makes it easier for a cell to grab water-soluble molecules,Phospholipids: form the bilayer; Carbohydrates: help in adhesion; Cholesterol: provide flexibility; Integral proteins: form transporters; Peripheral proteins: part of the cell’s recognition sites.,0.5,0.862866222858429
"Potassium is needed for proper functioning of the sodium-potassium pump, which is a necessary component for many cells such as nerve cells, which require the pump in order for action potential to occur",The cell would not be able to get rid of extra sodium.,1.0,0.7428503632545471
Specific heat capacity is the amount of heat required for one gram of a substance to change it's temperature by one degree celsius.,the amount of heat one gram of a substance must absorb or lose to change its temperature by one degree Celsius,1.0,0.9159759283065796
hormone,hormone,1.0,1.0
